 -81 [da:09:af:f3:0f:7c]
RSSI: -80 [da:51:18:a4:05:1a]
RSSI: -81 [da:51:18:b2:05:4a]
RSSI: -73 [da:09:e4:69:12:fc]
RSSI: -80 [da:51:18:b2:05:4a]
RSSI: -74 [da:09:e4:69:12:fc]
RSSI: -74 [da:09:e4:76:13:1c]
RSSI: -74 [da:09:e4:76:13:1c]
RSSI: -73 [da:09:e4:76:13:1c]
RSSI: -72 [da:09:e4:76:13:1c]
RSSI: -74 [da:09:e4:84:13:4c]
RSSI: -78 [da:51:18:cc:05:8a]
RSSI: -73 [da:09:e4:84:13:4c]
RSSI: -78 [da:51:18:cc:05:8a]
RSSI: -72 [da:09:e4:90:13:6c]
RSSI: -77 [da:51:18:da:05:ba]
RSSI: -75 [da:09:e4:90:13:6c]
RSSI: -75 [da:51:18:da:05:ba]
RSSI: -75 [da:09:e4:9d:13:9c]
RSSI: -77 [da:51:18:e6:05:da]
RSSI: -76 [da:09:e4:9d:13:9c]
RSSI: -76 [da:51:18:e6:05:da]
RSSI: -80 [da:09:e4:ab:13:bc]
RSSI: -75 [da:51:18:f4:05:fa]
RSSI: -77 [da:09:e4:ab:13:bc]
RSSI: -79 [da:09:e4:b7:13:dc]
RSSI: -72 [da:51:19:02:06:2a]
RSSI: -81 [da:09:e4:b7:13:dc]
RSSI: -76 [da:09:e4:c5:14:0c]
RSSI: -74 [da:51:19:0e:06:4a]
RSSI: -76 [da:09:e4:c5:14:0c]
RSSI: -75 [da:09:e4:d2:14:2c]
RSSI: -73 [da:51:19:1c:06:7a]
RSSI: -73 [da:51:19:1c:06:7a]
RSSI: -73 [da:09:e4:de:14:5c]
RSSI: -73 [da:09:e4:ec:14:7c]
RSSI: -72 [da:51:19:36:06:ba]
RSSI: -71 [da:09:e4:ec:14:7c]
RSSI: -72 [da:51:19:36:06:ba]
RSSI: -73 [da:09:e4:f9:14:ac]
RSSI: -72 [da:51:19:44:06:ea]
RSSI: -72 [da:51:19:44:06:ea]
RSSI: -67 [da:09:e5:05:14:cc]
RSSI: -72 [da:51:19:52:07:0a]
RSSI: -72 [da:51:19:52:07:0a]
RSSI: -73 [da:51:19:5f:07:2a]
RSSI: -73 [da:51:19:5f:07:2a]
RSSI: -73 [da:51:19:6c:07:5a]
RSSI: -74 [da:51:19:6c:07:5a]
RSSI: -81 [da:09:e5:2d:15:4c]
RSSI: -75 [da:51:19:7a:07:7a]
RSSI: -75 [da:51:19:7a:07:7a]
RSSI: -73 [da:09:e5:3a:15:6c]
RSSI: -75 [da:51:19:87:07:9a]
RSSI: -67 [da:09:e5:47:15:9c]
RSSI: -98 [da:4f:35:7c:15:6b]
RSSI: -74 [da:09:e5:54:15:bc]
RSSI: -80 [da:51:19:a2:07:ea]
RSSI: -66 [da:09:e5:61:15:dc]
RSSI: -79 [da:51:19:af:08:1a]
RSSI: -64 [da:09:e5:6e:16:0c]
RSSI: -65 [da:09:e5:6e:16:0c]
RSSI: -83 [da:51:19:bd:08:3a]
RSSI: -68 [da:09:e5:7b:16:2c]
RSSI: -64 [da:09:e5:7b:16:2c]
